"UniProt1","UniProt2","symbol1","symbol2","evidence type"
"O43353","P78560","RIPK2","CRADD","pred"
"O43353","Q15811","RIPK2","ITSN1","pred"
"O43353","P15170","RIPK2","GSPT1","pred"
"O43353","P56945","RIPK2","BCAR1","pred"
"O43353","P31689","RIPK2","DNAJA1","pred"
"O43353","P15056","RIPK2","BRAF","pred"
"O43353","P36888","RIPK2","FLT3","pred"
"O43353","Q9P2D1","RIPK2","CHD7","pred"
"O43353","Q04864","RIPK2","REL","pred"
"O43353","P26718","RIPK2","KLRK1","pred"
"O43353","P20701","RIPK2","ITGAL","pred"
"O43353","Q9HCY8","RIPK2","S100A14","pred"
"O43353","Q6P9H4","RIPK2","CNKSR3","pred"
"O43353","P61088","RIPK2","UBE2N","pred"
"O43353","Q13418","RIPK2","ILK","pred"
"O43353","P36873","RIPK2","PPP1CC","pred"
"O43353","Q9ULZ3","RIPK2","PYCARD","exp;pred"
"O43353","Q6SA08","RIPK2","TSSK4","pred"
"O43353","P36894","RIPK2","BMPR1A","pred"
"O43353","Q9NY65","RIPK2","TUBA8","pred"
"O43353","P49913","RIPK2","CAMP","pred"
"O43353","Q9NPP4","RIPK2","NLRC4","pred"
"O43353","O43734","RIPK2","TRAF3IP2","pred"
"O43353","Q00994","RIPK2","BEX3","pred"
"O43353","P61964","RIPK2","WDR5","pred"
"O43353","Q8IUC6","RIPK2","TICAM1","exp;pred"
"O43353","P02511","RIPK2","CRYAB","pred"
"O43353","Q00613","RIPK2","HSF1","pred"
"O43353","P55957","RIPK2","BID","ortho;pred"
"O43353","P40933","RIPK2","IL15","pred"
"O43353","P59046","RIPK2","NLRP12","pred"
"O43353","P28908","RIPK2","TNFRSF8","pred"
"O43353","P07437","RIPK2","TUBB","exp;pred"
"O43353","P29466","RIPK2","CASP1","exp;pred"
"O43353","Q9Y4K4","RIPK2","MAP4K5","pred"
"O43353","Q13489","RIPK2","BIRC3","exp;pred"
"O43353","Q13191","RIPK2","CBLB","pred"
"O43353","Q16543","RIPK2","CDC37","pred"
"O43353","P08138","RIPK2","NGFR","exp;pred"
"O43353","Q9C000","RIPK2","NLRP1","pred"
"O43353","P55345","RIPK2","PRMT2","exp"
"O43353","Q5EG05","RIPK2","CARD16","exp;pred"
"O43353","Q01469","RIPK2","FABP5","exp"
"O43353","Q92918","RIPK2","MAP4K1","pred"
"O43353","Q9Y5V3","RIPK2","MAGED1","pred"
"O43353","P49662","RIPK2","CASP4","pred"
"O43353","Q13315","RIPK2","ATM","pred"
"O43353","Q9UBP5","RIPK2","HEY2","pred"
"O43353","P43626","RIPK2","KIR2DL1","pred"
"O43353","P05112","RIPK2","IL4","pred"
"O43353","P13569","RIPK2","CFTR","pred"
"O43353","Q9UL54","RIPK2","TAOK2","pred"
"O43353","P16234","RIPK2","PDGFRA","pred"
"O43353","Q14164","RIPK2","IKBKE","pred"
"O43353","P25685","RIPK2","DNAJB1","pred"
"O43353","P22694","RIPK2","PRKACB","pred"
"O43353","Q9BUF5","RIPK2","TUBB6","pred"
"O43353","Q13114","RIPK2","TRAF3","exp;pred"
"O43353","P42229","RIPK2","STAT5A","pred"
"O43353","Q96CX2","RIPK2","KCTD12","exp"
"O43353","P41279","RIPK2","MAP3K8","pred"
"O43353","Q99558","RIPK2","MAP3K14","pred"
"O43353","Q9HAV5","RIPK2","EDA2R","pred"
"O43353","Q13557","RIPK2","CAMK2D","pred"
"O43353","Q9H4A3","RIPK2","WNK1","pred"
"O43353","P19320","RIPK2","VCAM1","pred"
"O43353","P68366","RIPK2","TUBA4A","pred"
"O43353","P55212","RIPK2","CASP6","pred"
"O43353","P58753","RIPK2","TIRAP","pred"
"O43353","Q9NX02","RIPK2","NLRP2","pred"
"O43353","Q9NZQ7","RIPK2","CD274","pred"
"O43353","Q9BVA1","RIPK2","TUBB2B","exp;pred"
"O43353","P22303","RIPK2","ACHE","pred"
"O43353","Q9Y239","RIPK2","NOD1","exp;pred"
"O43353","P01024","RIPK2","C3","pred"
"O43353","Q7Z434","RIPK2","MAVS","exp;pred"
"O43353","P17844","RIPK2","DDX5","pred"
"O43353","Q6GQQ9","RIPK2","OTUD7B","pred"
"O43353","Q16890","RIPK2","TPD52L1","pred"
"O43353","P11171","RIPK2","EPB41","pred"
"O43353","O94972","RIPK2","TRIM37","pred"
"O43353","P06396","RIPK2","GSN","pred"
"O43353","P01308","RIPK2","INS","pred"
"O43353","P04233","RIPK2","CD74","pred"
"O43353","O60603","RIPK2","TLR2","exp;pred"
"O43353","P10721","RIPK2","KIT","pred"
"O43353","Q9UKT5","RIPK2","FBXO4","pred"
"O43353","P68400","RIPK2","CSNK2A1","pred"
"O43353","Q96RR4","RIPK2","CAMKK2","pred"
"O43353","P31944","RIPK2","CASP14","pred"
"O43353","O60936","RIPK2","NOL3","pred"
"O43353","P07766","RIPK2","CD3E","pred"
"O43353","P31751","RIPK2","AKT2","pred"
"O43353","P17980","RIPK2","PSMC3","pred"
"O43353","Q13469","RIPK2","NFATC2","exp"
"O43353","O94832","RIPK2","MYO1D","exp;pred"
"O43353","Q9NWZ3","RIPK2","IRAK4","pred"
"O43353","Q13546","RIPK2","RIPK1","exp;pred"
"O43353","Q02763","RIPK2","TEK","pred"
"O43353","Q14774","RIPK2","HLX","pred"
"O43353","Q9Y2U5","RIPK2","MAP3K2","pred"
"O43353","P21580","RIPK2","TNFAIP3","ortho;pred"
"O43353","P60568","RIPK2","IL2","pred"
"O43353","P55084","RIPK2","HADHB","exp;pred"
"O43353","Q13287","RIPK2","NMI","pred"
